Item,Matched_Category,Match_Score,Final_Category
"VARTI -AYUSH Certified, Parabens & Sulphate Free Cold Pressed Saffron Face bar",Baby care ,86,Baby care 
"VARTI -AYUSH Certified, 100% Organic and Chemical Free Baby Magic Oil-100ml "" Combo Pack of 2""",Moms bath ,87,Moms bath 
"VARTI -AYUSH Certified, 100% Organic & Chemical free Baby Oil & Baby Bar ""Combo Pack"" Cold Pressed",Moms bath ,87,Moms bath 
LITTLEVEDA Moms Cookies Pack of 2 - POST BIRTH COOKIES- Rose Almond & Cinnamon Walnut,Moms snacks ,100,Moms snacks 
"VARTI -AYUSH Certified, Parabens & Sulphate Free Cold Pressed Body bar-Charcoal & Pomegranate Oil",Baby care ,86,Baby care 
"VARTI -AYUSH Certified, 100% Organic and Chemical Free Healing Oil-15ml "" Combo Pack -2""",Moms bath ,87,Moms bath 
"VARTI -AYUSH Certified, Parabens & Sulphate Free Cold Pressed Body bar-Sandalwood & Turmeric",Moms bath ,100,Moms bath 
"VARTI -AYUSH Certified, Parabens & Sulphate Free Healing Oil, 100% Organic & Chemical free-15ml",Moms bath ,100,Moms bath 
"VARTI -AYUSH Certified, Parabens & Sulphate Free Stretch Mark Oil, 100% Organic & Chemical free",Moms bath ,100,Moms bath 
"VARTI -AYUSH Certified, Parabens & Sulphate Free Body Massage Oil , 100% Organic & Chemical free",Moms bath ,90,Moms bath 
"VARTI-AYUSH Certified, Parabens & Sulphate Free Magic Face Oil, 100% Organic & Chemical free - 10ml",Moms bath ,93,Moms bath 
"Varti-AYUSH Certified, 100% Organic & Chemical free Ubtan -50g",Moms bath ,100,Moms bath 
"VARTI Organic Magic Face Oil 10ml, Kumkumadi Tailam, Natural & Chemical-free, Coconut, Almond, Olive & Avocado Oil, Anti-Ageing, Brightening Glass Skin, Reduces Wrinkles, Suitable for all Skin Type",Nursery and gear ,86,Nursery and gear 
"VARTI AYUSH Certified, 100% Organic and Chemical free Hair Massage Oil -100ml ""Combo Pack Of 2""",Moms bath ,91,Moms bath 
"VARTI -AYUSH Certified, 100% Organic & Chemical free Hair & Face Oil Combo",Moms bath ,100,Moms bath 
"Varti Organic Hair Oil 100ml, Bhringraj & Hibiscus for Healthy Hair Growth & Thickness, Helps in New Hair Growth, Control Hair Fall & Split End, Effective on Dandruff, For Women & Men",Baby care ,86,Baby care 
Varti-100% Organic &Chemical free Hand &Foot Cream 50g,Baby care ,86,Baby care 
"VARTI -AYUSH Certified,100% Organic & Chemical free Cold Pressed Baby Bar ""Combo Pack""",Baby care ,88,Baby care 
"VARTI -AYUSH Certified, Parabens & Sulphate Free Cold Pressed Baby Bar, 100% Organic & Chemical free",Baby care ,100,Baby care 
"VARTI -AYUSH Certified, Parabens & Sulphate Free Baby Massage Oil, 100% Organic & Chemical free",Moms bath ,91,Moms bath 
"LittleVeda Morning Sickness Relief Tea, Ginger Peach Caffeine Free tea for Pregnant Women",Moms snacks ,100,Moms snacks 
"LittleVeda Morning Sickness Relief Tea Ginger Orange Caffeine Free tea for Pregnant Women50g,",Moms snacks ,93,Moms snacks 
"LITTLEVEDA Moms Cookies, Pack of 2 - Post Birth Health & Lactation Cookies - Cinnamon Walnut",Moms snacks ,100,Moms snacks 
"LittleVeda Pregnancy Cookies - Trimester 3, PACK of 2 Paan Almond",Moms snacks ,100,Moms snacks 
"LittleVeda Pregnancy Cookies - Trimester 1&2, PACK of 2 - Lemon Almond",Moms snacks ,100,Moms snacks 
"LITTLEVEDA Moms Cookies, Pack of 2 - Post Birth & Lactation Cookies- Rose Almond",Moms snacks ,100,Moms snacks 
LittleVeda Moms Tea Rose 50g Caffeine Free tea for Breastfeeding Moms,Moms snacks ,100,Moms snacks 
Little Veda Moms Tea Traditional Caffeine Free tea for Breastfeeding Mother's,Nursery and gear ,86,Nursery and gear 
"LittleVeda Pregnancy Trail Mix - Beetroot, Seeds & Nuts, Trimester 3",Moms snacks ,89,Moms snacks 
"LittleVeda Moms Panjeeri Bar - Coconut For Breastfeeding Mom\'s with Shatavari, Gondh, Cumin",Nursery and gear ,86,Nursery and gear 
"LittleVeda Pregnancy Trail Mix - Apricot, Seeds & Nuts, Trimester 1 & 2",Moms snacks ,100,Moms snacks 
Shumee Rolling Peg ball,Toys ,86,Toys 
Shumee Starry Castle and Fantasy Characters Wooden Blocks,Diapers ,86,Diapers 
Shumee Bozo the Bear - A Neem Wood Rattle,Toys ,100,Toys 
Shumee Wooden Pirate Rattle for Babies,Diapers ,86,Diapers 
Shumee Penguin Wooden Rattle,Toys ,100,Toys 
Shumee Shells and Stars Wall Organizer,Diapers ,86,Diapers 
Shumee Clock 3D Jigsaw Puzzle,Toys ,100,Toys 
Shumee Under the Sea Shape Puzzle Set,Moms bath ,86,Moms bath 
Shumee Sunny Rattle for Babies,Diapers ,86,Diapers 
Shumee Under-the-Sea Wooden Stamps Set,Moms bath ,86,Moms bath 
Shumee JobSet Playing cards,Toys ,86,Toys 
Shumee Ele and Leo Wooden stamps set,Diapers ,86,Diapers 
Shumee Shape Shifter Stamp,Pregnancy pillow ,86,Pregnancy pillow 
Shumee Baby Little Essentials Olly the Owl,Baby care ,86,Baby care 
Shumee Baby Little Essentials Haley the Hippo,Baby care ,86,Baby care 
Shumee Modes of Transport Wooden Stamps Set,Diapers ,86,Diapers 
Shumee Forest Snap Card and Forest Memory Card Combo,Diapers ,86,Diapers 
Shumee Jungle Animal Maze for Toddlers,Diapers ,86,Diapers 
Shumee Garden Flower Wooden Maze,Toys ,86,Toys 
Shumee Favorite Wooden Rattles Combo,Toys ,100,Toys 
Shumee Wooden Egg Shakers (0 Years+) - Discover Sounds & Enhance Senses,Toys ,86,Toys 
Shumee Wooden Rocking Horse,Toys ,86,Toys 
Shumee Wobbly Penguin - Roly Poly Toys for Toddlers,Toys ,100,Toys 
"Shumee Wooden Farm Animals Twist & Turn Toy Set| 100% Safe, Natural & Eco-friendly",Baby care ,86,Baby care 
Shumee Colorful Clutch Ball for babies,Toys ,100,Toys 
Shumee 8-in-1 Wooden Musical Activity Push Walker (1 Year+),Toys ,100,Toys 
"Shumee Wooden Activity Triangle| Educational Toy Abacus, Alphabets Blocks",Toys ,100,Toys 
Shumee Wooden Rainbow Stacking Rings Game,Toys ,86,Toys 
"Shumee Wooden Number & Shape Sorting House Toy| Addition, Subtraction & Time-telling",Toys ,100,Toys 
Shumee Butterfly Balance board,Toys ,100,Toys 
Shumee Striped Bunny Teether and Rattle Ring,Diapers ,86,Diapers 
"Shumee Wooden Fish Rattle Rings and Teethers for Infants | Sensory Toy | 100% Safe, Eco-Friendly",Toys ,100,Toys 
"Shumee Rattle Rings & Teether for Babies|100% Safe, Natural & Eco-friendly",Nursery and gear ,86,Nursery and gear 
NBAN Forest Green anti-nausea wrist band for morning sickness,Pregnancy pillow ,88,Pregnancy pillow 
NBAN Black Grey anti-nausea wrist band for morning sickness,Pregnancy pillow ,100,Pregnancy pillow 
NBAN Blossom Pink anti-nausea wrist band for morning sickness,Pregnancy pillow ,87,Pregnancy pillow 
NBAN Sky Blue anti nausea wrist band,Feeding ,86,Feeding 
Superbottoms Baby Hearts UNO Cloth diaper + 1 Dry Feel Pad (Pack of 2) (0-3 Months),Diapers ,100,Diapers 
SuperBottoms Dry Feel Magic Pads Set (for Freesize UNO Cloth Diaper),Nursery and gear ,86,Nursery and gear 
Similac Plus Stage 2 (400 gram),Infant formula ,100,Infant formula 
Enfagrow A+ Stage 4 Nutritional Milk Powder (3-6 Yrs) Vanilla,Infant formula ,100,Infant formula 
"GRD Smart Nutritional Protein Drink for Pregnant and Lactating Mothers, Supports Brain Development and Healthy Growth of Birth Child (200g) - Swiss Chocolate",Nursery and gear ,86,Nursery and gear 
SPOO[CURATIO] SHAM (125 mL),Baby care ,100,Baby care 
"GRD Smart Nutritional Protein Drink for Pregnant and Lactating Mothers, Supports Brain Development and Healthy Growth of Birth Child (200g) - Vanilla",Nursery and gear ,86,Nursery and gear 
SOFY SANITARY PADS 15'S (UNICHARM),Moms bath ,100,Moms bath 
Moisturex Soft Cream 300gm,Moms bath ,86,Moms bath 
Cetaphil Moisturising Lotion 100 Ml,Moms bath ,100,Moms bath 
Cetaphil Moisturising Cream 80G,Moms bath ,100,Moms bath 
Cetaphil Moisturising Lotion 500 ml,Baby care ,100,Baby care 
Cetaphil Moisturising Cream 250g,Moms bath ,95,Moms bath 
"Similac Total Comfort Infant Formula Up to 6 Months, 350g Tin, With100% whey Partially Hydrolysed Protein, Minimal Lactose",Infant formula ,100,Infant formula 
Similac Isomil Soy Infant Formula (400 gram),Infant formula ,100,Infant formula 
"Prohance Mom Nutritional Drink,Pregnant & Lactating Women Chocolate 200 Gm",Moms snacks ,94,Moms snacks 
PediaSure Advance+ Powder Vanilla Delight (400 gm),Moms snacks ,100,Moms snacks 
PediaSure Kids Nutrition Drink with Prem Chocolate for 2+(400 gm),Nursery and gear ,86,Nursery and gear 
Groviva Powder Chocolate (400 gm),Infant formula ,86,Infant formula 
Nutramigen LGG Hypoallergenic Formula (400 gram),Infant formula ,86,Infant formula 
SPOO[CURATIO] SHAM (75 mL),Baby care ,94,Baby care 
Vivamom Vanilla Powder 400 gram,Moms snacks ,100,Moms snacks 
SIMILAC NEOSURE [ABBOTT] (400 gram),Infant formula ,100,Infant formula 
Sofy Antibacteria Extra Long Pads - 7 Count,Moms bath ,100,Moms bath 
V WASH PLUS[GLENMARK] LOTN (100 mL),Feeding ,86,Feeding 
D-Protin Powder Chocolate (200 gram),Moms snacks ,100,Moms snacks 
Pro-PL Protein Powder Chocolate (200 gram),Moms snacks ,89,Moms snacks 
Oilatum Lotion(100 mL),Baby care ,86,Baby care 
